view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,urlvar,current_url,subject,success,timeout,failed_images,failed_audio,failed_video,device_id,stimulus,response
"[{""page_index"":0,""viewing_time"":20293}]",20293,instructions,0,20295,0.0-0.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,NA,NA
"[{""page_index"":0,""viewing_time"":13432}]",13432,instructions,1,33726,0.0-1.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,preload,2,33934,0.0-2.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,TRUE,FALSE,[],[],[],NA,NA,NA
NA,2863,fullscreen,3,37799,0.0-3.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,TRUE,NA,NA,NA,NA,NA,NA,NA
NA,NA,initialize-microphone,4,54587,0.0-4.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,aa0f6cead0b3d13734c2d1951fe13c36236402586a5854a33c70509251ca6c7e,NA,NA
"[{""page_index"":0,""viewing_time"":2066},{""page_index"":1,""viewing_time"":6064}]",8130,instructions,5,62718,0.0-5.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,NA,NA
NA,null,image-button-response,6,67223,0.0-6.0-0.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,images/instructions/movie_1.png,null
NA,null,image-button-response,7,69929,0.0-6.0-1.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,images/instructions/movie_1.png,null
NA,null,image-button-response,8,71732,0.0-6.0-2.0,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,[],null
NA,null,image-button-response,9,76235,0.0-6.0-0.1,A4854B8D763A489EBBF1AD9C0359C5C8,8bbb627b-a531-45c0-b550-39e6a998f8c9,7bdd7257-3b67-4aee-804c-4941df32afb5,"{""participantId"":""A4854B8D763A489EBBF1AD9C0359C5C8"",""assignmentId"":""8bbb627b-a531-45c0-b550-39e6a998f8c9"",""projectId"":""7bdd7257-3b67-4aee-804c-4941df32afb5""}",https://test12345.live/?participantId=A4854B8D763A489EBBF1AD9C0359C5C8&assignmentId=8bbb627b-a531-45c0-b550-39e6a998f8c9&projectId=7bdd7257-3b67-4aee-804c-4941df32afb5,A4854B8D763A489EBBF1AD9C0359C5C8,NA,NA,NA,NA,NA,NA,images/instructions/movie_2.png,null
