"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","firstImageNumber","secondImageNumber","response_made","stimulus_type"
"true","false","[]","[]","[]","preload","0","9257","0.0-0.0","","","","","","","",""
"","","","","","instructions","1","580586","0.0-1.0","[{""page_index"":0,""viewing_time"":571327}]","571328","","","","","",""
"","","","","","html-button-response","2","589508","0.0-2.0","","8918","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/1.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/2.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <p style=""text-align: center; margin-top: 20px;"">Does Event 1 lead to Event 2?</p>","0","","","",""
"","","","","","html-button-response","3","591277","0.0-3.0","","1767","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/1.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/2.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <h2>Correct Answer</h2>
        <p>The correct answer is: <strong>Event 1 leads to Event 2</strong>.</p>
        <p>Click ""Next"" to proceed to the next example.</p>","0","","","",""
"","","","","","html-button-response","4","602241","0.0-4.0","","10963","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/2.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/1.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <p style=""text-align: center; margin-top: 20px;"">Does Event 1 lead to Event 2?</p>","1","","","",""
"","","","","","html-button-response","5","603787","0.0-5.0","","1544","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/2.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/1.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <h2>Correct Answer</h2>
        <p>The correct answer is: <strong>Event 2 leads to Event 1</strong>.</p>
        <p>Click ""Next"" to proceed to the next example.</p>","0","","","",""
"","","","","","html-button-response","6","609681","0.0-6.0","","5893","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/5.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/6.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <p style=""text-align: center; margin-top: 20px;"">Does Event 1 lead to Event 2?</p>","2","","","",""
"","","","","","html-button-response","7","610810","0.0-7.0","","1127","
        <div style=""display: flex; justify-content: center; align-items: center;"">
          <div style=""text-align: center; margin-right: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
            <img src=""images/instructions/5.png"" style=""width: 300px; height: auto;"">
          </div>
          <div style=""text-align: center; margin-left: 20px;"">
            <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
            <img src=""images/instructions/6.png"" style=""width: 300px; height: auto;"">
          </div>
        </div>
        <h2>Correct Answer</h2>
        <p>The correct answer is: <strong>Events are unrelated</strong>.</p>
        <p>Click ""Next"" to proceed to the experiment.</p>","0","","","",""
"","","","","","html-button-response","8","612250","0.0-8.0","","1439","
        <h2>Get Ready!</h2>
        <p>You have completed the examples. The experiment is about to begin.</p>
        <p>Click ""Start"" to begin the experiment.</p>","0","","","",""
"","","","","","html-button-response","9","633035","0.0-9.0","","20784","
      <div style=""display: flex; justify-content: center; align-items: center;"">
        <div style=""text-align: center; margin-right: 20px;"">
          <p style=""font-size: 24px; font-weight: bold;"">Event 1</p>
          <img src=""images/causal/cat_care_semantic/cat_care_semantic_8.png"" style=""width: 300px; height: auto;"">
        </div>
        <div style=""text-align: center; margin-left: 20px;"">
          <p style=""font-size: 24px; font-weight: bold;"">Event 2</p>
          <img src=""images/causal/cat_care_semantic/cat_care_semantic_7.png"" style=""width: 300px; height: auto;"">
        </div>
      </div>
      <p style=""text-align: center; margin-top: 20px;"">Does Event 1 lead to Event 2?</p>","1","8","7","true","physical_activity_semantic"
